Title,Date
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 19","08/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 18","07/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 17","07/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 16","07/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 15","07/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 14","07/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 13","07/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 12","07/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 11","07/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 10","06/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 9","06/06/2020"
"Sobrevivendo a Escobar, Alias JJ: Temporada 1: Episódio 8","06/06/2020"
